team,team.id
Oregon,2483
Oregon State,204
Pacific,279
Penn State,213
Pennsylvania,219
Pepperdine,2492
Pittsburgh,221
Portland,2501
Portland State,2502
Prairie View A&M,2504
Presbyterian,2506
Princeton,163
Providence,2507
Purdue,2509
Purdue Fort Wayne,2870
Quinnipiac,2514
Radford,2515
Rhode Island,227
Rice,242
Richmond,257
Rider,2520
Robert Morris,2523
Rutgers,164
SE Louisiana,2545
SIU Edwardsville,2565
SMU,2567
Sacramento State,16
Sacred Heart,2529
Saint Joseph's,2603
Saint Louis,139
Saint Mary's,2608
Saint Peter's,2612
Sam Houston,2534
Samford,2535
San Diego,301
San Diego State,21
San Francisco,2539
San José State,23
Santa Clara,2541
Seattle U,2547
Seton Hall,2550
Siena,2561
South Alabama,6
South Carolina,2579
South Carolina State,2569
South Carolina Upstate,2908
South Dakota,233
South Dakota State,2571
South Florida,58
Southeast Missouri State,2546
Southern,2582
Southern Illinois,79
Southern Miss,2572
Southern Utah,253
St. Bonaventure,179
St. Francis (BKN),2597
St. Francis (PA),2598
St. John's,2599
St. Thomas - Minnesota,2900
Stanford,24
Stephen F. Austin,2617
Stetson,56
Stony Brook,2619
Syracuse,183
TCU,2628
Tarleton,2627
Temple,218
Tennessee,2633
Tennessee State,2634
Tennessee Tech,2635
Texas,251
Texas A&M,245
Texas A&M-CC,357
Texas Southern,2640
Texas State,326
Texas Tech,2641
The Citadel,2643
Toledo,2649
Towson,119
Troy,2653
Tulane,2655
Tulsa,202
UAB,5
UC Davis,302
UC Irvine,300
UC Riverside,27
UC San Diego,28
UC Santa Barbara,2540
UCF,2116
UCLA,26
UConn,41
UConn,41
UIC,82
UL Monroe,2433
UMBC,2378
UMass,113
UMass Lowell,2349
UNC Asheville,2427
UNC Greensboro,2430
UNC Wilmington,350
UNLV,2439
USC,30
UT Arlington,250
UT Martin,2630
UT Rio Grande Valley,292
UTEP,2638
UTSA,2636
Utah,254
Utah State,328
Utah Valley,3084
VCU,2670
VMI,2678
Valparaiso,2674
Vanderbilt,238
Vermont,261
Villanova,222
Virginia,258
Virginia Tech,259
Wagner,2681
Wake Forest,154
Washington,264
Washington State,265
Weber State,2692
West Virginia,277
Western Carolina,2717
Western Illinois,2710
Western Kentucky,98
Western Michigan,2711
Wichita State,2724
William & Mary,2729
Winthrop,2737
Wisconsin,275
Wofford,2747
Wright State,2750
Wyoming,2751
Xavier,2752
Yale,43
Youngstown State,2754
